Team,ABRV,WC_All_Time,Confederation,MP ,W ,D ,L ,GF ,GA ,Pts.,Avg. Pts ,Part. ,1930_WC,1934_WC,1938_WC,1950_WC,1954_WC,1958_WC,1962_WC,1966_WC,1970_WC,1974_WC,1978_WC,1982_WC,1986_WC,1990_WC,1994_FIFA,1994_WC,1998_FIFA,1998_WC,2002_FIFA,2002_WC,2006_FIFA,2006_WC,2010_FIFA,2010_WC,2014_FIFA,2014_WC,2018_FIFA
Brazil,BRA,1,CONMEBOL,104,70,17,17,221,102,227,2.18,20,6,14,3,2,5,1,1,11,1,4,3,5,5,9,3,1,1,2,2,1,1,5,1,6,3,4,2
Germany,GER,2,UEFA,106,66,20,20,224,121,218,2.06,18,,3,10,,1,4,7,2,3,1,6,2,2,1,1,5,2,7,11,2,19,3,6,3,2,1,1
Italy,ITA,3,UEFA,83,45,21,17,128,77,156,1.88,18,,1,1,7,10,,9,9,2,10,4,1,12,3,4,2,14,5,6,15,13,1,5,26,9,22,19
Argentina,ARG,4,CONMEBOL,77,42,14,21,131,84,140,1.82,16,2,9,,,,13,10,5,,8,1,11,1,2,8,10,6,6,3,18,9,6,7,5,5,2,5
Spain,ESP,5,UEFA,59,29,12,18,92,66,99,1.68,14,,5,,4,,,13,10,,,10,12,7,10,5,8,15,17,8,5,5,9,2,1,1,23,10
England,ENG,6,UEFA,62,26,20,16,79,56,98,1.58,14,,,,8,6,11,8,1,8,,,6,8,4,15,,5,9,12,6,10,7,8,13,10,26,12
France,FRA,7,UEFA,59,28,12,19,106,71,96,1.63,14,7,9,6,,11,3,,13,,,12,4,3,,13,,18,1,1,28,8,2,9,29,17,7,7
Netherlands,NED,8,UEFA,50,27,12,11,86,48,93,1.86,10,,9,14,,,,,,,2,2,,,15,2,7,25,4,9,,3,11,4,2,15,3,17
Uruguay,URU,9,CONMEBOL,51,20,12,19,80,71,72,1.41,12,1,,,1,4,,12,7,4,13,,,16,16,18,,38,,24,26,22,,16,4,7,12,14
Sweden,SWE,10,UEFA,46,16,13,17,74,69,61,1.33,11,,8,4,3,,2,,,9,5,13,,,21,10,3,28,,19,13,16,14,37,,32,,24
Russia,RUS,11,UEFA,40,17,8,15,66,47,59,1.48,10,,,,,,7,6,4,5,,,7,10,17,19,18,16,,28,22,37,,11,,19,24,70
Serbia,SRB,12,UEFA,43,17,8,18,64,59,59,1.37,11,4,,,5,7,5,4,,,7,,16,,5,78,,8,10,10,,44,32,15,23,30,,34
Mexico,MEX,13,CONCACAF,53,14,14,25,57,92,56,1.06,15,13,,,12,13,16,11,12,6,,16,,6,,16,13,4,13,7,11,4,15,17,14,20,10,15
Belgium,BEL,14,UEFA,41,14,9,18,52,66,51,1.24,12,11,15,13,,12,,,,10,,,10,4,11,27,11,36,19,23,14,56,,59,,11,6,3
Poland,POL,15,UEFA,31,15,5,11,44,40,50,1.61,7,,,11,,,,,,,3,5,3,14,,32,,54,,38,25,29,21,58,,69,,8
